id;value;parent
1;24404;24
2;24401;24
3;24403;24
4;24402;24
5;48070;48
6;48071;48
7;48080;48
8;48011;48
9;48013;48
10;48007;48
11;48003;48
12;48006;48
13;48001;48
14;48014;48
15;48015;48
16;48008;48
17;48012;48
18;48002;48
19;48004;48
20;48010;48
21;48005;48
22;48009;48
23;52070;52
24;52071;52
25;52080;52
26;52002;52
27;52001;52
28;52003;52
29;52005;52
30;52004;52
31;52006;52
32;11630;11
33;11500;11
34;11391;11
35;11379;11
36;11170;11
37;11316;11
38;11180;11
39;11693;11
40;11339;11
41;11549;11
42;11639;11
43;11000;11
44;11680;11
45;11393;11
46;11351;11
47;11400;11
48;11688;11
49;11179;11
50;11160;11
51;11570;11
52;11158;11
53;11510;11
54;11518;11
55;11149;11
56;11370;11
57;11139;11
58;11138;11
59;11190;11
60;11679;11
61;11612;11
62;11520;11
63;11540;11
64;11640;11
65;11670;11
66;11390;11
67;11405;11
68;11314;11
69;11130;11
70;11120;11
71;11610;11
72;11380;11
73;11150;11
74;11159;11
75;11369;11
76;11350;11
77;11550;11
78;11650;11
79;11140;11
80;11519;11
81;11649;11
82;11593;11
83;11620;11
84;11687;11
85;11648;11
86;11591;11
87;11311;11
88;11595;11
89;11638;11
90;11330;11
91;11579;11
92;11300;11
93;11590;11
94;11592;11
95;11349;11
96;11689;11
97;11690;11
98;11178;11
99;11100;11
100;11408;11
101;11596;11
102;11659;11
103;11660;11
104;11313;11
105;11530;11
106;11340;11
107;11312;11
108;11110;11
109;11594;11
110;11580;11
111;11320;11
112;11360;11
113;11368;11
114;11315;11
115;11692;11
116;11310;11
117;11392;11
118;11691;11
119;11560;11
120;11600;11
121;11611;11
122;20070;20
123;20071;20
124;20080;20
125;20003;20
126;20008;20
127;20018;20
128;20014;20
129;20002;20
130;20009;20
131;20012;20
132;20013;20
133;20016;20
134;20017;20
135;20015;20
136;20005;20
137;20006;20
138;20011;20
139;20010;20
140;20004;20
141;20001;20
142;20007;20
143;3200;3
144;3205;3
145;3208;3
146;3203;3
147;3206;3
148;3202;3
149;3296;3
150;3292;3
151;3294;3
152;3207;3
153;3201;3
154;3204;3
155;3293;3
156;3291;3
157;3290;3
158;3295;3
159;3139;3
160;29600;29
161;29670;29
162;29602;29
163;29604;29
164;29603;29
165;29660;29
166;29601;29
167;28800;28
168;28803;28
169;28805;28
170;28806;28
171;28802;28
172;28804;28
173;28801;28
174;28807;28
175;28870;28
176;16195;16
177;16412;16
178;16214;16
179;16111;16
180;16841;16
181;16812;16
182;16620;16
183;16290;16
184;16315;16
185;16464;16
186;16537;16
187;16433;16
188;16338;16
189;16313;16
190;16740;16
191;16420;16
192;16215;16
193;16431;16
194;16780;16
195;16123;16
196;16191;16
197;16141;16
198;16360;16
199;16855;16
200;16710;16
201;16460;16
202;16196;16
203;16118;16
204;16152;16
205;16470;16
206;16640;16
207;16779;16
208;16870;16
209;16843;16
210;16311;16
211;16540;16
212;16851;16
213;16114;16
214;16192;16
215;16512;16
216;16210;16
217;16316;16
218;16857;16
219;16340;16
220;16720;16
221;16890;16
222;16738;16
223;16850;16
224;16300;16
225;16891;16
226;16350;16
227;16373;16
228;16879;16
229;16649;16
230;16555;16
231;16707;16
232;16610;16
233;16708;16
234;16611;16
235;16612;16
236;16234;16
237;16238;16
238;16318;16
239;16239;16
240;16321;16
241;16856;16
242;16122;16
243;16250;16
244;16541;16
245;16623;16
246;16854;16
247;16444;16
248;16190;16
249;16216;16
250;16143;16
251;16194;16
252;16771;16
253;16000;16
254;16542;16
255;16372;16
256;16781;16
257;16144;16
258;16411;16
259;16647;16
260;16193;16
261;16312;16
262;16510;16
263;16532;16
264;16339;16
265;16251;16
266;16435;16
267;16417;16
268;16441;16
269;16730;16
270;16421;16
271;16162;16
272;16410;16
273;16465;16
274;16500;16
275;16235;16
276;16878;16
277;16330;16
278;16550;16
279;16237;16
280;16461;16
281;16142;16
282;16650;16
283;16260;16
284;16393;16
285;16520;16
286;16434;16
287;16440;16
288;16630;16
289;16200;16
290;16371;16
291;16760;16
292;16852;16
293;16336;16
294;16853;16
295;16423;16
296;16145;16
297;16390;16
298;16160;16
299;16113;16
300;16638;16
301;16337;16
